(-3.12, -4.56) 
 (-2.42, -4.56) 
 (-1.72, -4.56) 
 (-1.02, -4.56) 
 (-0.32, -4.56) 
 (0.38, -4.56) 
 (1.08, -4.56) 
 (1.78, -4.56) 
 (2.48, -4.56) 
 (3.18, -4.56) 
 (-3.12, -3.86) 
 (-2.42, -3.86) 
 (-1.72, -3.86) 
 (-1.02, -3.86) 
 (-0.32, -3.86) 
 (0.38, -3.86) 
 (1.08, -3.86) 
 (1.78, -3.86) 
 (2.48, -3.86) 
 (3.18, -3.86) 
 (-3.12, -3.16) 
 (-2.42, -3.16) 
 (-1.72, -3.16) 
 (-1.02, -3.16) 
 (-0.32, -3.16) 
 (0.38, -3.16) 
 (1.08, -3.16) 
 (1.78, -3.16) 
 (2.48, -3.16) 
 (3.18, -3.16) 
 (-3.12, -2.46) 
 (-2.42, -2.46) 
 (-1.72, -2.46) 
 (-1.02, -2.46) 
 (-0.32, -2.46) 
 (0.38, -2.46) 
 (1.08, -2.46) 
 (1.78, -2.46) 
 (2.48, -2.46) 
 (3.18, -2.46) 
 (-3.12, -1.76) 
 (-2.42, -1.76) 
 (-1.72, -1.76) 
 (-1.02, -1.76) 
 (-0.32, -1.76) 
 (0.38, -1.76) 
 (1.08, -1.76) 
 (1.78, -1.76) 
 (2.48, -1.76) 
 (3.18, -1.76) 
 (-3.12, -1.06) 
 (-2.42, -1.06) 
 (-1.72, -1.06) 
 (-1.02, -1.06) 
 (-0.32, -1.06) 
 (0.38, -1.06) 
 (1.08, -1.06) 
 (1.78, -1.06) 
 (2.48, -1.06) 
 (3.18, -1.06) 
 (-3.12, -0.36) 
 (-2.42, -0.36) 
 (-1.72, -0.36) 
 (-1.02, -0.36) 
 (-0.32, -0.36) 
 (0.38, -0.36) 
 (1.08, -0.36) 
 (1.78, -0.36) 
 (2.48, -0.36) 
 (3.18, -0.36) 
 (-3.12, 0.34) 
 (-2.42, 0.34) 
 (-1.72, 0.34) 
 (-1.02, 0.34) 
 (-0.32, 0.34) 
 (0.38, 0.34) 
 (1.08, 0.34) 
 (1.78, 0.34) 
 (2.48, 0.34) 
 (3.18, 0.34) 
 (-3.12, 1.04) 
 (-2.42, 1.04) 
 (-1.72, 1.04) 
 (-1.02, 1.04) 
 (-0.32, 1.04) 
 (0.38, 1.04) 
 (1.08, 1.04) 
 (1.78, 1.04) 
 (2.48, 1.04) 
 (3.18, 1.04) 
 (-3.12, 1.74) 
 (-2.42, 1.74) 
 (-1.72, 1.74) 
 (-1.02, 1.74) 
 (-0.32, 1.74) 
 (0.38, 1.74) 
 (1.08, 1.74) 
 (1.78, 1.74) 
 (2.48, 1.74) 
 (3.18, 1.74) 
 (-3.12, 2.44) 
 (-2.42, 2.44) 
 (-1.72, 2.44) 
 (-1.02, 2.44) 
 (-0.32, 2.44) 
 (0.38, 2.44) 
 (1.08, 2.44) 
 (1.78, 2.44) 
 (2.48, 2.44) 
 (3.18, 2.44) 
 (-3.12, 3.14) 
 (-2.42, 3.14) 
 (-1.72, 3.14) 
 (-1.02, 3.14) 
 (-0.32, 3.14) 
 (0.38, 3.14) 
 (1.08, 3.14) 
 (1.78, 3.14) 
 (2.48, 3.14) 
 (3.18, 3.14) 
 (-3.12, 3.84) 
 (-2.42, 3.84) 
 (-1.72, 3.84) 
 (-1.02, 3.84) 
 (-0.32, 3.84) 
 (0.38, 3.84) 
 (1.08, 3.84) 
 (1.78, 3.84) 
 (2.48, 3.84) 
 (3.18, 3.84) 
 (-3.12, 4.54) 
 (-2.42, 4.54) 
 (-1.72, 4.54) 
 (-1.02, 4.54) 
 (-0.32, 4.54) 
 (0.38, 4.54) 
 (1.08, 4.54) 
 (1.78, 4.54) 
 (2.48, 4.54) 
 (3.18, 4.54)
